month_start,Average_Order_Value,Total_Revenue,Total_Purchases
2016-09-01,44.99,134.97,3
2016-10-01,130.43,30520.05,234
2016-12-01,10.90,10.90,1
2017-01-01,129.87,82077.44,632
2017-02-01,129.80,146548.46,1129
2017-03-01,130.19,240596.23,1848
2017-04-01,139.24,231695.37,1664
2017-05-01,124.51,322968.20,2594
2017-06-01,114.21,254468.92,2228
2017-07-01,109.08,312733.52,2867
2017-08-01,122.94,384052.19,3124
2017-09-01,134.81,414262.37,3073
2017-10-01,131.40,433369.69,3298
2017-11-01,128.16,704245.67,5495
2017-12-01,131.31,497654.03,3790
2018-01-01,123.89,608161.55,4909
2018-02-01,118.54,579875.61,4892
2018-03-01,127.34,621052.95,4877
2018-04-01,133.23,637112.21,4782
2018-05-01,131.64,644368.24,4895
2018-06-01,129.60,565584.47,4364
2018-07-01,131.24,573898.04,4373
2018-08-01,124.91,555843.54,4450
